simbolo,frecuencia,codigo,longitud
"n",6090,11101,5
"i",5736,11100,5
"r",5716,10111,5
"m",2879,101101,6
"b",1417,1011001,7
"?",369,101100011,9
"P",327,101100010,9
";",320,101100001,9
"B",305,101100000,9
"\,",2704,101011,6
".",2599,101010,6
"I",1281,1001111,7
"p",1274,1001110,7
"l",4513,10010,5
"t",8777,1000,4
"Y",147,0111111111,10
"j",75,01111111101,11
":",69,01111111100,11
"D",143,0111111101,10
"V",132,0111111100,10
"L",541,01111110,8
"E",1057,0111110,7
"W",451,00110110,8
"ô",867,0011010,7
"O",856,0011001,7
"ò",31,00101010100,11
"R",856,0011000,7
"g",1686,001011,6
"U",440,00101011,8
"&",2,0010101010101100,16
"[",123,0010101011,10
"z",29,001010101011,12
"K",9,0010101010100,13
"y",2503,100110,6
"î",65,01110010101,11
" ",22002,110,3
"ú",1,00101010101011111,17
"S",521,01110100,8
"¶",1,00101010101011101,17
"]",123,0111000010,10
"!",248,011100000,9
"ù",1,00101010101011100,17
"T",1048,0111011,7
"u",3302,00100,5
"F",252,011100100,9
"√",1,00101010101011110,17
"G",185,001010100,9
"v",996,0101111,7
"\n",5059,10100,5
"k",829,0010100,7
"s",6181,0000,4
"Z",5,00101010101010,14
"h",6576,0001,4
"Q",2,0010101010101101,16
"J",213,001101110,9
"H",247,001101111,9
"w",2151,011110,6
"e",11902,1111,4
"Ä",965,0101101,7
"c",1843,001111,6
"a",7373,0100,4
"d",3831,01010,5
"f",1801,001110,6
"‚",965,0101100,7
"A",988,0101110,7
"o",8021,0110,4
"-",125,0111000011,10
"N",505,01110001,8
"q",63,01110010100,11
"x",129,0111001011,10
"M",510,01110011,8
"C",526,01110101,8
